rank,name,year,type,domains,mechanisms,rating_avg,complexity,bgg_id
60,Fields of Arle,2014,boardgame,Strategy Games,"Automatic Resource Growth, Highest-Lowest Scoring, Income, Solo / Solitaire Game, Worker Placement",8.09,3.88,159675
61,7 Wonders,2010,boardgame,"Family Games, Strategy Games","Card Drafting, Drafting, Hand Management, Set Collection, Simultaneous Action Selection, Variable Player Powers",7.75,2.33,68448
62,Teotihuacan: City of Gods,2018,boardgame,Strategy Games,"Area Movement, Rondel, Set Collection, Solo / Solitaire Game, Tile Placement, Track Movement, Variable Set-up, Worker Placement, Worker Placement with Dice Workers",7.95,3.77,229853
63,Clank!: A Deck-Building Adventure,2016,boardgame,"Family Games, Strategy Games","Card Drafting, Deck Bag and Pool Building, Drafting, End Game Bonuses, Pick-up and Deliver, Player Elimination, Point to Point Movement, Push Your Luck, Variable Set-up",7.81,2.21,201808
64,The Quacks of Quedlinburg,2018,boardgame,Family Games,"Catch the Leader, Deck Bag and Pool Building, Dice Rolling, Push Your Luck, Variable Set-up",7.82,1.94,244521
65,Crokinole,1876,boardgame,Family Games,"Flicking, Team-Based Game",7.91,1.25,521
66,Five Tribes,2014,boardgame,Strategy Games,"Auction/Bidding, Constrained Bidding, End Game Bonuses, Hidden Victory Points, Mancala, Modular Board, Set Collection, Square Grid, Turn Order: Auction, Variable Player Powers, Variable Set-up, Victory Points as a Resource",7.78,2.86,157354
67,Dominant Species,2010,boardgame,Strategy Games,"Area Majority / Influence, Card Drafting, Grid Movement, Hexagon Grid, Map Addition, Modular Board, Take That, Tile Placement, Variable Player Powers, Worker Placement",7.85,4.04,62219
68,On Mars,2020,boardgame,Strategy Games,"Area Majority / Influence, Contracts, Delayed Purchase, Drafting, End Game Bonuses, Hand Management, Hexagon Grid, Income, Movement Points, Moving Multiple Units, Point to Point Movement, Set Collection, Solo / Solitaire Game, Tech Trees / Tech Tracks, Tile Placement, Variable Phase Order, Worker Placement",8.30,4.63,184267
69,Lisboa,2017,boardgame,Strategy Games,"Area Majority / Influence, Card Drafting, Hand Management, Solo / Solitaire Game, Tile Placement",8.18,4.57,161533
70,Aeon's End,2016,boardgame,Strategy Games,"Card Drafting, Cooperative Game, Deck Bag and Pool Building, Delayed Purchase, Hand Management, Solo / Solitaire Game, Variable Phase Order, Variable Player Powers, Variable Set-up",8.02,2.76,191189
71,Lords of Waterdeep,2012,boardgame,Strategy Games,"Card Drafting, Contracts, Hidden Roles, Increase Value of Unchosen Resources, Ownership, Set Collection, Take That, Turn Order: Claim Action, Worker Placement",7.75,2.46,110327
72,Paladins of the West Kingdom,2019,boardgame,Strategy Games,"Card Drafting, Market, Solo / Solitaire Game, Worker Placement, Worker Placement, Different Worker Types",8.07,3.67,266810
73,Keyflower,2012,boardgame,Strategy Games,"Auction/Bidding, Auction: Fixed Placement, Constrained Bidding, End Game Bonuses, Hexagon Grid, Memory, Modular Board, Multiple-Lot Auction, Network and Route Building, Ownership, Set Collection, Tile Placement, Turn Order: Auction, Worker Placement, Worker Placement, Different Worker Types",7.80,3.35,122515
74,Agricola (Revised Edition),2016,boardgame,Strategy Games,"Card Drafting, Enclosure, Hand Management, Worker Placement, Advantage Token, Automatic Resource Growth, Increase Value of Unchosen Resources, Solo / Solitaire Game, Team-Based Game, Turn Order: Claim Action, Variable Player Powers",8.04,3.50,200680
75,Pax Pamir: Second Edition,2019,boardgame,Strategy Games,"Action Points, Area Majority / Influence, Area Movement, Card Drafting, Hand Management, Increase Value of Unchosen Resources, Score-and-Reset Game, Simulation, Solo / Solitaire Game",8.43,3.75,256960
76,Tainted Grail: The Fall of Avalon,2019,boardgame,Thematic Games,"Area Movement, Campaign / Battle Card Driven, Cooperative Game, Deck Bag and Pool Building, Dice Rolling, Hand Management, Map Addition, Modular Board, Narrative Choice / Paragraph, Push Your Luck, Role Playing, Solo / Solitaire Game, Storytelling, Variable Player Powers",8.41,3.28,264220
77,Caylus,2005,boardgame,Strategy Games,"Ownership, Turn Order: Claim Action, Turn Order: Pass Order, Variable Set-up, Worker Placement",7.77,3.80,18602
78,Architects of the West Kingdom,2018,boardgame,Strategy Games,"Drafting, Solo / Solitaire Game, Variable Player Powers, Worker Placement",7.83,2.77,236457
79,El Grande,1995,boardgame,Strategy Games,"Action Drafting, Area Majority / Influence, Area Movement, Auction/Bidding, Card Drafting, Hand Management, Memory, Simultaneous Action Selection, Turn Order: Progressive, Turn Order: Stat-Based",7.75,3.05,93
80,Twilight Imperium: Third Edition,2005,boardgame,"Strategy Games, Thematic Games","Action Points, Area-Impulse, Dice Rolling, Follow, Hexagon Grid, Increase Value of Unchosen Resources, Modular Board, Player Elimination, Tile Placement, Trading, Variable Phase Order, Variable Player Powers, Voting",7.84,4.25,12493
81,Battlestar Galactica: The Board Game,2008,boardgame,Thematic Games,"Area Movement, Dice Rolling, Hand Management, Hidden Roles, Once-Per-Game Abilities, Role Playing, Semi-Cooperative Game, Team-Based Game, Traitor Game, Variable Player Powers, Variable Set-up, Voting",7.74,3.24,37111
82,Eldritch Horror,2013,boardgame,Thematic Games,"Action Points, Cooperative Game, Dice Rolling, Point to Point Movement, Role Playing, Solo / Solitaire Game, Stat Check Resolution, Variable Player Powers",7.81,3.32,146021
83,Troyes,2010,boardgame,Strategy Games,"Area Majority / Influence, Dice Rolling, End Game Bonuses, Hidden Victory Points, Lose a Turn, Ownership, Set Collection, Solo / Solitaire Game, Turn Order: Progressive, Worker Placement, Worker Placement with Dice Workers, Worker Placement, Different Worker Types",7.76,3.46,73439
84,Rising Sun,2018,boardgame,Strategy Games,"Action Drafting, Alliances, Area Majority / Influence, Area Movement, Auction: Sealed Bid, Betting and Bluffing, Drafting, End Game Bonuses, Follow, Force Commitment, Negotiation, Set Collection, Simultaneous Action Selection, Take That, Variable Phase Order, Variable Player Powers, Variable Set-up",7.88,3.28,205896
85,Dominion: Intrigue,2009,boardgame,Strategy Games,"Deck Bag and Pool Building, Hand Management",7.72,2.42,40834
86,Mombasa,2015,boardgame,Strategy Games,"Action Queue, Area Majority / Influence, Card Drafting, Deck Bag and Pool Building, Hand Management, Investment, Simultaneous Action Selection, Stock Holding, Variable Player Powers, Worker Placement",7.88,3.90,172386
87,Grand Austria Hotel,2015,boardgame,Strategy Games,"Action Drafting, Contracts, Dice Rolling, End Game Bonuses, Hand Management, Once-Per-Game Abilities, Set Collection, Variable Player Powers, Variable Set-up",7.85,3.22,182874
88,The Lord of the Rings: Journeys in Middle-Earth,2019,boardgame,Thematic Games,"Cooperative Game, Deck Bag and Pool Building, Modular Board, Role Playing, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Variable Player Powers",8.08,2.57,269385
89,Patchwork,2014,boardgame,"Abstract Games, Family Games","Card Drafting, Grid Coverage, Income, Square Grid, Tile Placement, Time Track, Victory Points as a Resource",7.66,1.64,163412
90,Raiders of the North Sea,2015,boardgame,Strategy Games,"Dice Rolling, Hand Management, Set Collection, Worker Placement, Worker Placement, Different Worker Types",7.79,2.53,170042
91,Russian Railroads,2013,boardgame,Strategy Games,"End Game Bonuses, Worker Placement",7.77,3.41,144733
92,Tigris & Euphrates,1997,boardgame,Strategy Games,"Area Majority / Influence, Area Movement, Connections, Hand Management, Highest-Lowest Scoring, Income, Pieces as Map, Set Collection, Square Grid, Tile Placement",7.70,3.51,42
93,Codenames,2015,boardgame,Party Games,"Communication Limits, Memory, Push Your Luck, Team-Based Game",7.62,1.29,178900
94,Roll for the Galaxy,2014,boardgame,Strategy Games,"Action Retrieval, Contracts, Dice Rolling, Follow, Simultaneous Action Selection, Variable Phase Order, Variable Player Powers",7.67,2.77,132531
95,Trajan,2011,boardgame,Strategy Games,"Area Movement, Card Drafting, Hand Management, Mancala, Rondel, Set Collection",7.76,3.65,102680
96,Lorenzo il Magnifico,2016,boardgame,Strategy Games,"Card Drafting, Dice Rolling, Variable Player Powers, Worker Placement, Worker Placement with Dice Workers",7.89,3.28,203993
97,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1982,boardgame,Thematic Games,"Cooperative Game, Solo / Solitaire Game, Storytelling",7.73,2.68,2511
98,Dominion,2008,boardgame,Strategy Games,"Deck Bag and Pool Building, Delayed Purchase, Hand Management, Take That, Variable Set-up",7.62,2.36,36218
99,Pandemic,2008,boardgame,"Family Games, Strategy Games","Action Points, Cooperative Game, Hand Management, Point to Point Movement, Set Collection, Trading, Variable Player Powers",7.61,2.41,30549
100,Pandemic: Iberia,2016,boardgame,Strategy Games,"Action Points, Cooperative Game, Hand Management, Point to Point Movement, Set Collection, Solo / Solitaire Game, Trading, Variable Player Powers",7.92,2.58,198928
101,Champions of Midgard,2015,boardgame,Strategy Games,"Dice Rolling, Set Collection, Variable Player Powers, Worker Placement",7.77,2.59,172287
102,Decrypto,2018,boardgame,Party Games,"Communication Limits, Targeted Clues, Team-Based Game",7.79,1.83,225694
103,Kemet,2012,boardgame,Strategy Games,"Action Points, Area Majority / Influence, Area Movement, Card Drafting, Card Play Conflict Resolution, Hand Management",7.72,3.01,127023
104,Yokohama,2016,boardgame,Strategy Games,"Contracts, End Game Bonuses, Grid Movement, Modular Board, Network and Route Building, Set Collection, Variable Set-up, Worker Placement, Worker Placement, Different Worker Types",7.85,3.27,196340
105,Clank! In! Space!: A Deck-Building Adventure,2017,boardgame,Strategy Games,"Card Drafting, Deck Bag and Pool Building, Modular Board, Pick-up and Deliver, Player Elimination, Point to Point Movement, Push Your Luck",7.86,2.54,233371
106,Forbidden Stars,2015,boardgame,Strategy Games,"Area Majority / Influence, Area Movement, Card Play Conflict Resolution, Dice Rolling, Hand Management, Modular Board, Order Counters, Variable Player Powers",7.97,3.83,175155
107,Inis,2016,boardgame,Strategy Games,"Action Drafting, Area Majority / Influence, Area Movement, Campaign / Battle Card Driven, Card Drafting, Hand Management, King of the Hill, Map Addition, Modular Board, Variable Phase Order, Variable Set-up",7.80,2.88,155821
108,The Isle of Cats,2019,boardgame,"Family Games, Strategy Games","Card Drafting, Drafting, Grid Coverage, Hidden Victory Points, Income, Pattern Building, Set Collection, Solo / Solitaire Game, Square Grid, Tile Placement, Turn Order: Stat-Based",8.04,2.32,281259
109,Star Wars: X-Wing Miniatures Game,2012,boardgame,"Customizable Games, Wargames","Action Queue, Critical Hits and Failures, Dice Rolling, Movement Template, Player Elimination, Simulation, Simultaneous Action Selection, Variable Player Powers",7.69,2.49,103885
110,Alchemists,2014,boardgame,Strategy Games,"Action Drafting, Card Drafting, Constrained Bidding, End Game Bonuses, Events, Hand Management, Turn Order: Progressive",7.67,3.90,161970
111,Stone Age,2008,boardgame,"Family Games, Strategy Games","Contracts, Dice Rolling, End Game Bonuses, Set Collection, Turn Order: Progressive, Worker Placement",7.57,2.48,34635
112,Legendary Encounters: An Alien Deck Building Game,2014,boardgame,Thematic Games,"Card Drafting, Cooperative Game, Deck Bag and Pool Building, Events, Hidden Roles, Player Elimination, Solo / Solitaire Game, Team-Based Game, Variable Player Powers",7.79,2.70,146652
113,Vinhos Deluxe Edition,2016,boardgame,Strategy Games,"Area Majority / Influence, Variable Phase Order, Worker Placement",8.21,4.05,175640
114,Endeavor: Age of Sail,2018,boardgame,Strategy Games,"Area Majority / Influence, Card Drafting, Point to Point Movement, Set Collection, Tech Trees / Tech Tracks",8.02,2.80,233398
115,Star Realms,2014,boardgame,Strategy Games,"Card Drafting, Deck Bag and Pool Building, Delayed Purchase, Hand Management, Take That",7.58,1.94,147020
116,Descent: Journeys in the Dark (Second Edition),2012,boardgame,Thematic Games,"Action Points, Cooperative Game, Dice Rolling, Grid Movement, Hand Management, Line of Sight, Modular Board, Movement Points, Multiple Maps, Scenario / Mission / Campaign Game, Team-Based Game, Variable Player Powers",7.69,3.20,104162
117,Cartographers,2019,boardgame,Family Games,"Bingo, Grid Coverage, Line Drawing, Paper-and-Pencil, Solo / Solitaire Game",7.76,1.91,263918
118,Res Arcana,2019,boardgame,Strategy Games,"Card Drafting, Hand Management, Race, Take That, Turn Order: Pass Order, Variable Player Powers",7.80,2.59,262712
119,Age of Steam,2002,boardgame,Strategy Games,"Auction/Bidding, Catch the Leader, Connections, Dice Rolling, Loans, Network and Route Building, Pick-up and Deliver, Player Elimination, Scenario / Mission / Campaign Game, Selection Order Bid, Tile Placement, Turn Order: Auction, Victory Points as a Resource",7.78,3.90,4098
120,Istanbul,2014,boardgame,Strategy Games,"Contracts, Dice Rolling, Grid Movement, Modular Board, Network and Route Building, Pick-up and Deliver, Race, Variable Set-up, Worker Placement",7.58,2.58,148949
121,Ticket to Ride: Europe,2005,boardgame,Family Games,"Card Drafting, Connections, End Game Bonuses, Hand Management, Network and Route Building, Push Your Luck, Set Collection",7.55,1.94,14996
122,Dead of Winter: A Crossroads Game,2014,boardgame,Thematic Games,"Action Points, Area Movement, Cooperative Game, Dice Rolling, Hand Management, Narrative Choice / Paragraph, Push Your Luck, Semi-Cooperative Game, Storytelling, Trading, Traitor Game, Variable Player Powers, Voting",7.57,3.02,150376
123,Targi,2012,boardgame,Strategy Games,"End Game Bonuses, Modular Board, Set Collection, Turn Order: Progressive, Worker Placement",7.64,2.35,118048
124,War of the Ring,2004,boardgame,Thematic Games,"Action Points, Area Majority / Influence, Area Movement, Campaign / Battle Card Driven, Dice Rolling, Hand Management",7.77,3.85,9609
125,Chaos in the Old World,2009,boardgame,"Strategy Games, Thematic Games","Action Points, Area Majority / Influence, Area Movement, Dice Rolling, Hand Management, Role Playing, Take That, Variable Player Powers",7.68,3.19,43111
126,Welcome To...,2018,boardgame,Family Games,"Bingo, Paper-and-Pencil, Pattern Building, Solo / Solitaire Game",7.61,1.82,233867
127,That's Pretty Clever!,2018,boardgame,Family Games,"Dice Rolling, Drafting, Highest-Lowest Scoring, Paper-and-Pencil, Re-rolling and Locking, Solo / Solitaire Game",7.64,1.89,244522
128,Trickerion: Legends of Illusion,2015,boardgame,Strategy Games,"Action Points, Action Queue, Catch the Leader, Dice Rolling, Simultaneous Action Selection, Tile Placement, Turn Order: Stat-Based, Worker Placement",7.89,4.20,163068
129,The Lord of the Rings: The Card Game,2011,boardgame,Customizable Games,"Cooperative Game, Deck Construction, Events, Hand Management, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Variable Set-up",7.65,3.17,77423
130,Railways of the World,2005,boardgame,Strategy Games,"Action Points, Auction/Bidding, Card Drafting, Connections, End Game Bonuses, Hexagon Grid, Income, Network and Route Building, Ownership, Pick-up and Deliver, Tile Placement, Turn Order: Auction",7.69,3.02,17133
